Date,Article Title,Opperative,City/Town,State/Provence,Country,Reference,WB?,Affected,Duration,Infrastructure,Holiday,Fire / Death / Notes,Species,Alt URL
2017-07-20,"Mitchell, SD Outage:  A squirrel caused 491 customers to lose power the core area of town. All should be restored now.",Squirrel,Mitchell,SD,United States,https://twitter.com/NorthWesternSD/status/888080266832564225,Y,491,41,,,,,http://www.mitchellrepublic.com/news/local/4300445-squirrel-sparks-brief-power-outage-downtown-mitchell?amp
2017-07-19,"UPDATED: Power restored to 1,100 Medford customers following brief outage",Squirrel,Medford,OR,United States,http://www.mailtribune.com/news/20170719/updated-power-restored-to-1100-medford-customers-following-brief-outage,Y,1152,-,,,,,
2017-07-18,Crow causes large power outage in Corvallis,Bird,Corvallis,OR,United States,http://www.gazettetimes.com/albany/news/local/crow-causes-large-power-outage-in-corvallis/article_170f5514-2e5f-5bfd-8149-7028298cedf1.html,Y,13000,-,,,fire,Crow,
2017-07-18,"Snake slithers into west Forsyth substation, blows electricity to thousands",Snake,Ciumming,GA,United States,https://www.forsythnews.com/local/snake-slithers-west-forsyth-substation-blows-electricity-thousands/,Y,9341,-,,,,,
2017-07-18,Area Power Outage,Snake,Loveland,CO,United States,http://1310kfka.com/2017/07/area-power-outage/,Y,6500,-,,,fire,,http://gephardtdaily.com/what-the/snake-causes-power-outage-for-6500-people-in-colorado/
2017-07-18,"Snake knocks out power for 6,500 people",Snake,Johnstown,GA,United States,http://www.9news.com/news/local/snake-knocks-out-power-for-6500-people/457655780,E,6500,-,,,,,
2017-07-18,The power outage in #SurreyBC was caused by a bird contacting our wires.,Bird,Surrey,BC,Canada,https://twitter.com/bchydro/status/887355057389408256,Y,6442,-,,,,,
2017-07-17,Bird causes widespread blackout,Bird,Eucha,VIC,Australia,http://www.riverineherald.com.au/2017/07/17/8868/bird-causes-widespread-blackout,Y,1774,90,traffic lights,,,,
2017-07-16,‘Curious’ baboon knocks out power to Zambian tourist town,Baboon,Lusaka,,Zambia,https://apnews.com/d3a56ad8ab4f452592af7c073424ba5c/'Curious'-baboon-knocks-out-power-to-Zambian-tourist-town,Y,-,-,,,,,http://news.xinhuanet.com/english/2017-07/17/c_136449997.htm
2017-07-16,Squirrel starts fire in West Richland neighborhood Sunday morning,Squirrel,West Richland,WA,United States,http://www.tri-cityherald.com/news/local/crime/article161662488.html,Y,-,-,,,fire,,
